S,Channel,0,1,2,3
0,0,-0.05015670133795978,0.003068060207143381,0.030207990848137464,0.011375916160212243
0,1,-0.05835566195454397,0.017378150959704117,-0.014973299426343222,0.009885181083679632
0,2,-0.016168786441665493,-0.0069440959405602095,-0.01253123989718812,0.023170961262937734
0,3,-0.007515211166894682,0.023654245692759746,0.004081188559621279,-0.02894701828787338
0,4,-0.05308648769832843,-0.023773842675852707,-0.0012670521775907722,-0.012928657419798022
0,5,-0.053428708172545074,0.00011678729405791374,-0.014384044603362128,-0.035409958521937464
0,6,-0.04568834293338227,-0.0014858352195110576,0.003857017747383977,0.0003025809947505287
0,7,-0.05648691924318268,-0.00804373991787446,-0.025552168154076273,-0.017317727721219027
0,8,-0.047192957358894255,-0.03204379082081645,0.008942445152180262,-0.024665435885071172
0,9,-0.12220740158598731,-0.05097812762651658,-0.010123341681967634,-0.040942043751107104
0,10,-0.04330663753133429,0.01599958255470411,0.007926442264919955,0.019935519115925577
0,11,-0.05515918588154116,-0.00817053086683201,0.03481593579586207,0.01302680087417871
0,12,-0.03639543802336732,0.03311279227891389,0.02388244505281398,0.055894614401258806
0,13,-0.01460180571563843,-0.0048084531331246795,0.000951759517671272,-0.00871350808947665
1,0,-0.03848369654276544,-0.03312249427742142,-0.012091747601861933,-0.02488486851974643
1,1,-0.036160968293788065,0.00330907091427231,0.0011692233222399906,0.025275344986900976
1,2,-0.002960653908430435,-0.0004717589109138208,-0.013171599804965779,0.02647097637641772
1,3,-0.002175822443508477,0.01720967838147392,-0.012469880857079183,0.029383113071108094
1,4,-0.009778651872398635,0.042221851867834365,0.00330801022338563,0.03372387775462972
1,5,-0.020197977118233228,0.022188033804434282,-0.002289886368171814,-0.034848737632258826
1,6,-0.026102669607360553,-0.0005575607464432804,-0.04199002519949317,-0.0714564701092481
1,7,-0.018077257154544155,0.03039627027660673,-0.020381439488509887,-0.01848034159806861
1,8,-0.01615235493364211,-0.010690416594687512,-0.05464705318155121,-0.04849026330322362
1,9,-0.0581897051291863,-0.003319948598436225,-0.06553912082218213,-0.02023072042533495
