S,Channel,0,1,2,3
0,0,0.0879731766892234,0.07220310277953988,-0.10670767922901897,-0.07724375099013361
0,1,0.14861607275725636,-0.004405407212763851,-0.07550676972676168,-0.08724292712414256
0,2,-0.06154428197300198,0.059183568757886405,0.017475104459436012,-0.06294732380847323
0,3,0.13479203439307116,0.39759197713683675,-0.0402372032590537,0.040157149834646376
0,4,0.21255085033656215,0.18572961800490667,0.09475940471943933,0.05047648988156005
0,5,0.19952890590084932,0.06311623677781408,0.12850489842799726,-0.04654928678326536
0,6,-0.044306085366702996,0.08527307661605708,-0.18311825402447976,-0.01153472552654692
0,7,0.21748378548632338,0.11067640596944713,0.14883002264870235,0.10757388375824725
0,8,0.1091229376287412,0.19249856877767624,-0.0012567309465711324,0.0296103702590824
0,9,0.49319690829252766,0.22096983396261063,0.15852593438456777,0.09086027594261505
0,10,0.09664883658428601,0.14191846336792593,0.008733075829908734,0.014363572992804677
0,11,-0.0988308664280284,0.006204826815571862,-0.02012725614924535,0.04848214569143511
0,12,0.15708090179212222,0.1493688463950719,-0.1817740900258597,-0.19003849080796217
0,13,0.011034139905875595,0.2555917541354521,-0.03820620717537728,-0.0868062231620028
1,0,0.16542596164160592,0.07868915647201119,-0.007196205459461428,-0.022717408564368456
1,1,-0.006906715205844155,-0.12480795200933281,-0.08985474452742291,-0.21761385491601962
1,2,0.12278900952761176,0.03485802976089778,-0.11982185391224166,-0.07859359499312682
1,3,0.04719967191215752,0.06053877340120111,-0.03147540188992821,-0.1261252824361371
1,4,0.19604670204903052,0.11787328939536527,0.1656845475991687,0.07181753182154586
1,5,0.06587271330543128,-0.049213587629867085,0.012355655745437646,0.012345016871420287
1,6,-0.1107841599119347,0.12893406177573885,-0.0012584103251163342,-0.43683916897674596
1,7,-0.030506603246819298,0.10776543507665325,-0.057222563881455475,-0.10634746588853877
1,8,0.03162051337080206,0.14621092230101146,0.02266438587756172,-0.18978073766042028
1,9,0.003335374388503272,0.09347438729245403,-0.038086925421989666,-0.2706393908792204
