S,Channel,0,1,2,3
4,10,-6.257104178510814e-08,9.172604899748774e-09,6.669587070234823e-08,-1.0467085838780818e-07
4,11,-1.5107564885340084e-08,1.3411227104467374e-07,1.2178469438010456e-07,-1.103005147376924e-07
4,12,,,,
4,13,,,,
5,0,8.541574899357579e-08,4.681281053126085e-08,4.253568027048817e-08,2.2835679418902997e-07
5,1,2.7796149593260785e-08,1.1060883020930146e-07,9.16833451188229e-08,1.4546579385713167e-07
5,2,-3.4316962107606315e-08,5.7869981122826764e-08,1.1265233615262158e-07,1.036793415495005e-07
5,3,6.505418552300551e-08,1.9362725924644345e-07,1.9247449720897858e-07,1.6982158921167344e-07
5,4,5.788524876386263e-08,6.297021807183226e-08,1.0815849490323605e-07,2.0118708656049473e-07
5,5,3.907316491230177e-08,2.6294135179005038e-08,7.417620666768557e-08,1.8797238824995467e-07
5,6,,,,
5,7,,,,
5,8,-7.494321926048385e-09,5.1373403373025e-08,9.505321083882066e-08,4.887720438618077e-08
5,9,1.514202360909126e-08,9.001402936683612e-09,7.98068465468329e-08,5.92098773848173e-10
5,10,-6.007772846856946e-08,6.080054543933588e-08,4.095642964988495e-08,1.2278349548389845e-07
5,11,-1.788693849189065e-08,1.0079785429610546e-07,8.246572042302794e-08,1.2576867242573887e-07
5,12,5.4811927897620264e-08,2.473739662803321e-07,1.1048703357040472e-07,1.5986389299484418e-07
5,13,6.202393085799184e-08,1.5022128478224134e-07,1.1719551896208989e-07,1.245912373659001e-07
6,0,1.3110758833824625e-09,9.887849510928188e-09,-1.1925917170258004e-08,-1.7331576628463523e-08
6,1,9.405788833624459e-09,1.3114295610258253e-08,-1.917863970836634e-09,-1.7532590574193508e-08
6,2,3.102454395668792e-08,7.733701262391977e-08,5.2402703247988785e-08,1.5782810525755185e-08
6,3,2.130251474322737e-08,4.245633740969711e-08,2.6991028582383408e-08,1.7342622240258477e-08
6,4,-1.030803959935568e-08,1.0868618704771096e-07,3.985061633255842e-08,1.3285309342885122e-07
6,5,-2.452376109699555e-08,8.833605610063624e-10,-1.9547054322888493e-08,2.0742021847008252e-08
6,6,1.4388291711542918e-08,3.342743367377596e-08,1.1028907353201622e-07,-6.817820584253169e-08
6,7,1.3072310671844907e-08,3.332561501279393e-08,6.102435397435235e-08,-5.0310947589420886e-08
6,8,-1.0705552415228022e-08,7.787567863450031e-08,2.7083134256639318e-08,3.943062276120373e-09
6,9,-3.58801435449206e-08,7.369668389512475e-08,5.114806847392077e-08,4.8024595658409445e-08
6,10,9.289540792611895e-08,1.0728768276547517e-07,1.695397140111638e-07,8.339544003021391e-08
6,11,9.352694333920441e-08,7.910280025286384e-08,2.1010633420899914e-07,9.087503006134458e-08
6,12,,,,
6,13,,,,
7,0,-2.6202119197488898e-08,4.920169707209297e-08,5.917306407621878e-08,9.737712848508633e-08
7,1,-5.811528339771381e-09,7.539664942090328e-08,9.170014241679867e-08,5.397053285984281e-08
7,2,-2.77331313530135e-08,1.0740010564189527e-07,3.260297882741452e-08,1.2802962310318497e-07
7,3,-9.496977640722487e-09,1.0684232957108763e-07,1.7236370913557494e-08,8.529930239437875e-08
7,4,-2.949382455053972e-08,1.9269804564371684e-08,-1.6422418141012858e-08,6.322242361499336e-08
7,5,3.7368112556219744e-09,2.4192541872401448e-08,-8.730427824017169e-10,3.7636991203296366e-08
7,6,4.879293501578209e-08,8.287121646983924e-08,-1.3074181509307e-07,-5.6052564464181075e-08
7,7,3.371611713537333e-08,1.1391257118512224e-07,-5.037064136948891e-08,6.688827879211873e-08
7,8,-1.3954756818961226e-08,8.284800326302553e-08,-5.040385158107487e-09,-5.151452643326355e-09
7,9,-3.700129674636205e-08,1.950003298317664e-07,-2.517275444799526e-08,7.612971807878415e-08
7,10,8.090842644866808e-08,1.9980634629680664e-07,5.029328662544743e-08,8.925861187068465e-08
7,11,5.669183146551681e-08,4.8507995829968954e-08,-2.126292020810409e-09,2.0998936978317576e-08
7,12,-4.111402374553438e-08,1.401849539418651e-07,1.104228491425753e-07,1.8246550497149003e-07
7,13,-4.0741271979876226e-08,4.318605170819032e-08,4.546413477695162e-08,6.03958620083885e-08
8,0,1.9130140269604287e-07,1.0213776093376268e-07,1.4447026600491145e-07,1.4288516434744612e-07
8,1,1.815967851268636e-08,-2.7832077811284844e-08,9.138494568664135e-08,7.28566073238017e-08
8,2,6.506496572922922e-08,5.167756503060825e-08,6.158567024963392e-08,2.53891867373512e-08
8,3,7.300566082153852e-08,-1.577576499236807e-08,1.3387268999844306e-07,3.9545839089199194e-08
8,4,1.485178850779172e-07,1.303503054776599e-07,1.6573810962002552e-07,7.934635898982802e-09
8,5,2.1805751308685623e-07,1.289743187775901e-07,1.1355073046152015e-07,5.002905405802036e-08
8,6,5.8622804096612034e-08,8.48149331788762e-08,7.887801127035558e-08,-1.8305678437019057e-09
8,7,7.646237671969724e-08,6.29299243603798e-08,7.052556928810574e-08,-2.997384784434976e-08
8,8,5.0807550265349994e-08,1.0800508206442093e-07,1.677374725084336e-07,3.9360681934655487e-08
8,9,9.699362221814802e-08,7.52620109084083e-08,1.7827403927179697e-07,2.634766204101234e-08
8,10,1.025515311619433e-07,1.232930315425966e-07,1.0938708401213119e-07,8.927656453040902e-08
8,11,5.139404288633974e-08,1.567384886897599e-07,1.5144659465748762e-07,-5.331745483071289e-08
8,12,2.066160268629757e-07,1.313537311050385e-07,2.2624128189894353e-07,1.7544417717199028e-07
8,13,1.1175330643933751e-07,3.960570903956041e-08,1.0404823966775936e-07,1.258779800580158e-07
9,0,3.143370566811474e-08,-6.420789599285215e-08,8.184014351330842e-08,4.176732463889758e-08
9,1,2.928608122743224e-08,-2.5030569325291584e-08,7.370481722574735e-08,2.275385106354112e-08
9,2,9.411237642033307e-09,-5.244251437236276e-08,8.559072554018548e-08,2.361891520143964e-08
9,3,,,,
9,4,-1.1217091481510838e-07,-7.224625583932531e-08,8.21693228650361e-09,1.381491055798823e-08
9,5,5.1541529212854964e-08,5.579014453940994e-08,-1.3525001767038722e-07,3.761460595659516e-08
9,6,-5.1771055593429035e-08,-1.095183985510197e-07,-3.2186807554930846e-08,-1.035591405976118e-09
9,7,4.9660136209864595e-08,-9.70139034242566e-10,4.040717246654513e-08,7.449251081236575e-08
9,8,3.4482528449465e-09,-5.229758138874813e-08,3.253306216895244e-08,5.3871296150962826e-08
9,9,9.070339826432162e-08,-3.5395595451500697e-08,8.189236108421846e-09,6.736454755195625e-08
9,10,-3.37047180813293e-08,-4.677817827318964e-09,-2.8904786295288005e-08,2.6689694866368153e-09
9,11,-1.214327465040185e-07,-3.7130648003756264e-08,-1.0634286796017708e-07,3.891542326393227e-08
9,12,6.13647808469805e-08,-2.2890523806218102e-08,8.255841093611863e-08,-1.5851065834482157e-08
9,13,3.0403074534273094e-08,-5.657098565179464e-08,7.754050434750628e-08,5.006431302995662e-08
10,0,5.0937165292455676e-09,9.684388949024328e-08,4.863097574355148e-08,2.077382081526154e-07
10,1,-3.984102103148077e-08,8.233495227336301e-08,6.776881376929727e-08,1.721912415625388e-07
10,2,4.1345836149764067e-08,9.896418289646405e-08,1.4871721544389742e-07,2.2744678019852815e-07
10,3,-3.5491573295919964e-08,1.2291090822072468e-07,1.0983054677479678e-07,2.3572106496343186e-07
10,4,7.46626050484801e-08,1.3902623128335646e-07,9.441959775658573e-08,2.181574666803804e-07
10,5,3.993669733902649e-08,-5.6166420298250746e-08,1.6425181990724783e-09,5.285518889807039e-08
10,6,1.215322768506924e-07,1.181139001173966e-07,1.8791105418776535e-07,1.938550029080736e-07
10,7,5.370474136820571e-08,6.686187509045179e-08,9.716492446656163e-08,1.0236396197070863e-07
10,8,6.833637717566386e-08,2.349415751039236e-08,2.181264967457341e-08,4.997478551151649e-08
10,9,6.769166433110226e-08,5.485978580820689e-08,8.354759351910983e-08,4.9672320931661954e-08
10,10,6.974382474753085e-08,1.1440708985116499e-07,7.06264227697698e-08,1.511415339099218e-07
10,11,1.9314074814314116e-09,1.5768542259954326e-08,-2.501036520846175e-08,1.1562957214675409e-08
10,12,9.186227782167504e-08,5.214087485765968e-08,2.2308744899137808e-08,1.1568690736374467e-07
10,13,7.843756651258566e-08,1.4964983879448153e-07,1.5568015715351627e-07,2.1523498868211658e-07
11,0,-1.3018188913429958e-07,-7.550265130001369e-08,-8.433265143411356e-10,-4.3158767589680275e-09
11,1,-1.287801681665105e-07,-1.7652881070084756e-07,5.431158391939649e-08,3.377954808404073e-08
11,2,-2.566286486854304e-08,-4.862879862100749e-08,6.360615896553178e-08,-1.1625829141864302e-08
11,3,-8.069331896995562e-08,-8.532846498633577e-08,8.519884589645503e-08,-2.139436581623208e-09
11,4,-8.963011156857062e-08,-1.3615790853338e-07,4.437094857699701e-08,-2.9187676135295053e-08
11,5,4.4512791893768625e-08,-9.155201603430509e-08,3.055723722955834e-08,5.801113274725413e-09
11,6,-3.143595875899329e-08,-1.2708952211501256e-07,4.049836104626301e-08,1.1855754062793004e-07
11,7,3.789197841419255e-08,5.271109061913542e-09,6.387495716708581e-08,-1.2906354119108579e-08
11,8,-7.324862662499647e-08,-2.0488598749101288e-07,5.345319032449217e-08,6.912632999622303e-08
11,9,6.321446642340846e-08,-8.591764307757581e-08,7.815706545038457e-08,7.416524727579104e-08
11,10,2.857605847557992e-07,-1.7424102451514078e-07,4.488075840206018e-08,4.989735258063516e-08
11,11,1.1588866321156789e-07,-1.7734251588743133e-07,-7.485164418834428e-08,1.5652257237796523e-07
11,12,,,,
11,13,,,,
12,0,-1.902932056185362e-07,-1.3646684603964323e-07,-1.9021816168113127e-07,-1.3760239588277585e-07
12,1,2.3948465667474565e-08,-5.978142896218517e-08,-3.12094560568561e-08,3.107874514374937e-08
12,2,3.6677549929938684e-08,-8.928793081921976e-08,-8.906974552203284e-08,-1.7574507225798667e-08
12,3,-2.5893374376054533e-08,-5.790951515441293e-08,-2.8059869551315722e-08,-6.320624150232272e-08
12,4,-8.284677496402501e-08,-2.2215917247431044e-08,-6.131588531009875e-08,-6.208016478465273e-08
12,5,2.0591009825581185e-08,-1.258879084051085e-07,-4.732803702402474e-08,9.131365773859257e-08
12,6,1.120009648647382e-07,3.718522594169755e-08,-1.0723110359776703e-07,2.4080494703577574e-07
12,7,3.738364073484261e-08,-3.479861635767248e-08,1.3218722239757307e-07,2.6482311413478044e-07
12,8,-6.164460296635512e-08,-1.315870981681072e-07,-1.6537196643350745e-07,-1.371498742658183e-07
12,9,8.079156806704017e-09,7.945642495986577e-09,-9.66315908561162e-08,-9.269357408356701e-08
12,10,,,,
12,11,,,,
12,12,,,,
12,13,,,,
13,0,-7.78013207745095e-08,1.3003282969242212e-07,1.626664032728815e-07,2.379978486917822e-07
13,1,-1.0127034877702096e-07,4.394275900322313e-08,7.657617112324664e-09,9.476390516575098e-08
