,time,condition,epoch,S1_D1 hbo,S1_D1 hbr,S2_D1 hbo,S2_D1 hbr,S3_D3 hbo,S3_D3 hbr,S5_D5 hbo,S5_D5 hbr,S6_D4 hbo,S6_D4 hbr,S6_D5 hbo,S6_D5 hbr,S7_D6 hbo,S7_D6 hbr,S7_D7 hbo,S7_D7 hbr
0,-10.0,noise,0,0.09195476943281612,-0.050681985511431375,0.3965119675582679,-0.03027631499106484,1.3796413027781196,0.8127784901779237,0.09443359230116048,-0.04855214548677985,0.24306993768893048,-0.13033973616907105,0.2721306571956248,-0.033952233905621285,0.38796786005336104,-0.23265917248400722,0.23776657401111762,-0.0013354373402028974
1,-9.666666666666666,noise,0,0.060572618593561715,-0.05011193408901405,0.35899951313009304,-0.06472587340095179,-0.17781298058578615,2.152027000117579,0.037996551456950904,-0.050531467749378126,0.1905853620396652,-0.14526847584690483,0.1803486501426308,-0.04158144937677527,0.32857895661705905,-0.2492335538612146,0.17823752519203517,-0.034470434138353837
2,-9.333333333333334,noise,0,0.015810723642155432,-0.04878790134888417,0.3328759007506976,-0.08894112341549137,-1.506455877099859,3.1984262398303227,-0.011114935062262011,-0.051419745188861186,0.14900692022283182,-0.16425856153284416,0.08803046183082307,-0.04760863348151448,0.264197700616276,-0.25819285782699564,0.13524090421059945,-0.09148716088614167
3,-9.0,noise,0,-0.041980508069722776,-0.04550553076736861,0.3113342847679933,-0.10103355400050382,-2.3318924610898555,3.648439759021838,-0.047357584635900556,-0.05020868946216077,0.1190807132988486,-0.17490463877103488,-0.0002249672207995225,-0.05051213519624424,0.19060744268666105,-0.25423315320880363,0.10587998797353915,-0.17048096237089078
4,-8.666666666666666,noise,0,-0.10820393558615067,-0.03925586256512605,0.2872362236937942,-0.1021424247544943,-2.4930867185759635,3.3808182088127894,-0.06748695446133257,-0.04655099153752054,0.10183168657113204,-0.16835731993082448,-0.07920646572047206,-0.04818779137016436,0.1038241497837615,-0.23075448306175175,0.08144609650808896,-0.2602924951522545
5,-8.333333333333334,noise,0,-0.17452387228916844,-0.029579009324519772,0.2561992092636116,-0.09461845443526613,-1.9993566268471883,2.461237050129032,-0.07210492453212371,-0.041022127989179466,0.09700541623302333,-0.14214506554020895,-0.1441395950600214,-0.03868787583895439,0.006668823092807201,-0.18784664351450578,0.053909071443431676,-0.3460321834387203
6,-8.0,noise,0,-0.23037588454926564,-0.016820446754137564,0.21424543619463912,-0.07918808475420994,-1.0361766804133683,1.1114149573540093,-0.0663420663795477,-0.03496415584544515,0.10053933621585692,-0.10001436517822775,-0.19200470227489833,-0.02170313538986353,-0.08934709118245784,-0.13487747941974587,0.021234446276240996,-0.4145775077659448
7,-7.666666666666667,noise,0,-0.2652386296340883,-0.002121302841434807,0.15541846814198798,-0.05403210512009876,0.1253641261474802,-0.3499496188965154,-0.05848494186013799,-0.02985960098908951,0.10408733321204237,-0.049772350034745984,-0.22243729261741227,0.00049466110596134,-0.16903087866238795,-0.08438538214234177,-0.012252278366134715,-0.45633905458987484
8,-7.333333333333333,noise,0,-0.27138757420765475,0.01290717666418773,0.07523963433732174,-0.017606378312832086,1.2363743441839237,-1.5921373707584014,-0.056495919341549176,-0.026442418409630877,0.0981596298554482,-0.0007354913468407689,-0.23763475637617315,0.023618489013711698,-0.22097091028711968,-0.04348892409145467,-0.039864261378259505,-0.463997317119882
9,-7.0,noise,0,-0.24656689326140419,0.02662885342981373,-0.022315311657806383,0.026759985413487133,2.1231407295876834,-2.3749230695061456,-0.06439981146923886,-0.02407866917522862,0.07664073170038857,0.03839228307836339,-0.2412746857508049,0.04294501068367784,-0.2415713347478156,-0.01092641734372002,-0.05750394950090546,-0.4317333971959652
10,-6.666666666666667,noise,0,-0.19508769798868036,0.03763457984914046,-0.12136366883132964,0.0688690220520325,2.707246353037354,-2.6307721664043444,-0.08074717589521006,-0.02093830348356669,0.0391657838993754,0.061600452701060356,-0.2366957763328035,0.05473281104518977,-0.23306275787867148,0.01737678638931556,-0.06640861929592042,-0.3571119358936322
11,-6.333333333333333,noise,0,-0.12585036775769648,0.04470833538628975,-0.1974227340733518,0.094755370992605,3.0049577376296215,-2.465916768756874,-0.09960075063247366,-0.015040524007361791,-0.009705819241909275,0.06784200224496788,-0.22490400116869938,0.05703463965525736,-0.19820465473559779,0.039758491366287285,-0.07138638842643232,-0.24503796510730488
12,-6.0,noise,0,-0.048354923881700096,0.046805758527702426,-0.22630797621060186,0.09327048675349442,3.0660140350886285,-2.0627052610364056,-0.11306108879580568,-0.005614578865723873,-0.06253912168397147,0.06177880214781835,-0.2037729531834448,0.05014836661278707,-0.1380723005904862,0.04765216732598704,-0.0748604284143282,-0.11110921944009483
13,-5.666666666666667,noise,0,0.029529868129010976,0.043426019229920974,-0.19538324865617468,0.062230514905131686,2.882228420818511,-1.560334979990871,-0.11413476512087542,0.006112287775057518,-0.1102216208943982,0.051158142998178995,-0.16945851409966248,0.03667239168164572,-0.05604052086602997,0.03500533625413319,-0.07169011361212708,0.01955615353482234
