,time,condition,epoch,S1_D1 hbo,S1_D1 hbr,S2_D1 hbo,S2_D1 hbr,S3_D3 hbo,S3_D3 hbr,S5_D5 hbo,S5_D5 hbr,S6_D4 hbo,S6_D4 hbr,S6_D5 hbo,S6_D5 hbr,S7_D6 hbo,S7_D6 hbr,S7_D7 hbo,S7_D7 hbr
0,-5.0,noise,0,0.06315086040108389,0.022582075425447833,0.09268797120400624,-0.05669160352294902,2.158033259217464,-0.3326018640738363,-0.11951161170871957,-0.002644992793927183,-0.0899972588091918,-0.009518514593801153,-0.14809334054652962,0.007424010249298827,0.12392723890034675,-0.11509410768117635,0.023300339023771995,-0.03323017000941275
1,-4.666666666666667,noise,0,0.08306458356845361,0.012838810728052636,0.19388705351001106,-0.08422868248544343,1.2097439405153854,0.06828971216242555,-0.07781086607880228,-0.0035277033457071917,-0.07220536354257441,-0.010712541270099315,-0.06813019039591325,-0.0005069593109069664,0.19209461463352648,-0.12777460953294242,0.10441866277071109,-0.038050102797823004
2,-4.333333333333333,noise,0,0.06498878041325888,0.005952866870519044,0.25893092365953796,-0.07318322625882347,0.4052000165478653,0.2533462254747252,-0.03176935742948533,-0.012677905194135454,-0.03054787748671492,-0.009133614889655917,0.019744191119607464,-0.0011742762394892647,0.23144678130368843,-0.12263823108429923,0.20428560731220521,-0.08497968289775785
3,-4.0,noise,0,0.016832550043034685,0.0014492021925658137,0.27842982792209475,-0.024033659182661274,-0.09892360191043996,0.23634525656335909,0.012170859823184313,-0.027791104232486517,0.02590662435157355,-0.0049970507266238065,0.10759460111590839,0.0044136577407518345,0.2397006237687789,-0.1024202749888858,0.29876199081086274,-0.14629404158031675
4,-3.6666666666666665,noise,0,-0.04096440429028894,-0.002955462591050456,0.2599840387753383,0.047688080073892795,-0.38308210713451535,0.1600009057863358,0.04960877870261713,-0.04399535456173464,0.08522471682246187,0.0011086532303857706,0.1851915995506354,0.013155369565109614,0.21845859332421289,-0.07000915437575947,0.35880506411675767,-0.18711588865667703
5,-3.3333333333333335,noise,0,-0.08645573984930278,-0.008936924826079455,0.21911291517741832,0.11869641931933929,-0.6529374066786505,0.20040403000702342,0.07821395955263734,-0.0558076008024196,0.1356698071352067,0.007280799343340524,0.24136480885193548,0.021294875294546076,0.17213920509679648,-0.02640957758818845,0.3625736255481096,-0.18003055887463834
6,-3.0,noise,0,-0.10599995968040715,-0.01617258138783956,0.1707578115785453,0.16617670728876816,-1.0437785440434943,0.4546462733360746,0.09632810222635915,-0.05933904289146794,0.167666702509244,0.010477110862595571,0.26663198902894186,0.025978725781217554,0.1084857743498791,0.025809893087780592,0.3057847624724168,-0.11937668071290557
7,-2.6666666666666665,noise,0,-0.09721584961434071,-0.02302150500165363,0.12444634730505987,0.17489291110607796,-1.508368962947202,0.883058703571449,0.10191044507092907,-0.05339106267437288,0.1750757238704991,0.007795589511049322,0.25597909382804346,0.025933532025621618,0.03824500674848256,0.07860521254705097,0.20212687156025666,-0.023280103564427748
8,-2.3333333333333335,noise,0,-0.06753555585796063,-0.027663005570148537,0.08128427676174292,0.14266492779437068,-1.833480856389123,1.3098043801004517,0.09307168080522776,-0.03919291058340947,0.1561586396918177,-0.001717011663330776,0.21028498559139824,0.02122167132669448,-0.02733819931861042,0.11886120294985916,0.07409206634438319,0.07816716649246304
9,-2.0,noise,0,-0.030373219059890422,-0.028470826810915697,0.03403534137675313,0.08075760413062381,-1.766273424652718,1.487287928794643,0.0696552070835121,-0.01942942574224849,0.11368222156868649,-0.015678032396688787,0.13563416460469266,0.012784175451028359,-0.08029881667027336,0.13377560031179755,-0.05663729058172952,0.15696712538963362
10,-1.6666666666666667,noise,0,0.001049226366310963,-0.024187558693225572,-0.027470758099986243,0.0073785869710408306,-1.195743902104103,1.228146837778285,0.03450020478316772,0.002877696323950692,0.05369210669359011,-0.028294441619983894,0.04115647179194032,0.0021252232228290394,-0.11900568783816867,0.11806147379741617,-0.17346269097738676,0.1949896228854076
11,-1.3333333333333333,noise,0,0.020015200680544274,-0.014439794320236883,-0.10971941211090884,-0.060259715442989796,-0.27392622176800385,0.5356587974053381,-0.006472068492964164,0.02530710581184696,-0.016241751069923142,-0.032226049573634376,-0.06316745780279648,-0.009118662907943784,-0.14857592796222233,0.0783572788886192,-0.2659835611501413,0.18732221781243968
12,-1.0,noise,0,0.028688302080049653,-0.00011394097492384895,-0.2131040409729664,-0.10901250782068092,0.6441624795392161,-0.3881257173561614,-0.04547250867431876,0.04643125477096281,-0.0882368781107952,-0.02207502396822824,-0.16782312262802043,-0.01968901503314096,-0.17772279647928804,0.03137942322531715,-0.33016096816870766,0.14283112048469437
13,-0.6666666666666666,noise,0,0.034999128842633134,0.01692455093289052,-0.33244802115935457,-0.12971540039305182,1.2427404866504763,-1.2922543997183689,-0.07498050518431647,0.06553341647776802,-0.15489395532797612,0.0024513265760879865,-0.26431616873605834,-0.028770803423733473,-0.21336347761987504,-0.003938816056953927,-0.3665560340629491,0.07932363294243197
14,-0.3333333333333333,noise,0,0.046987396118438135,0.03462981158464926,-0.45728445525247086,-0.119019908581209,1.4855590183947993,-2.0596225118623837,-0.08999136728502453,0.08208371647907341,-0.21023499311117663,0.03589632741029965,-0.34554878844965786,-0.03562311674809038,-0.25647971202422293,-0.015293299116839224,-0.3772308495432197,0.014411522765730142
