,0
0,7
1,11
2,12
3,14
4,15
5,16
6,19
7,20
8,21
9,22
10,23
11,24
12,28
13,29
14,30
15,31
16,32
17,33
18,37
19,38
20,39
21,40
22,41
23,42
24,73
25,81
26,91
