,0
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,19
18,20
19,21
20,22
21,23
22,24
23,25
24,26
25,27
26,28
27,29
28,30
29,31
30,32
31,33
32,34
33,35
34,37
35,38
36,39
37,40
38,41
39,42
40,43
41,44
42,46
43,50
44,62
45,65
46,68
47,69
48,70
49,72
50,75
51,81
52,83
53,84
54,85
55,86
56,87
57,89
58,90
59,91
60,93
61,95
62,96
63,99
64,101
65,103
66,105
67,106
68,107
69,109
70,110
71,111
72,112
73,114
74,117
75,118
76,119
77,122
