,time,condition,epoch,S1_D1 hbo,S1_D1 hbr,S1_D2 hbo,S1_D2 hbr,S2_D1 hbo,S2_D1 hbr,S2_D2 hbo,S2_D2 hbr,S5_D4 hbo,S5_D4 hbr,S5_D5 hbo,S5_D5 hbr,S6_D4 hbo,S6_D4 hbr,S6_D5 hbo,S6_D5 hbr,S7_D7 hbo,S7_D7 hbr
0,-5.0,Inhale,0,-0.09045543607297267,0.11824292192824905,0.08838178435220015,-0.005176103870890672,0.1118909851348915,0.027706231305039606,0.03101895845079178,-0.03255483707619895,-0.13895279540981476,0.03536179472372172,-0.07239600145054668,-0.09912408419461555,-0.032534156235541706,0.006169704956491633,0.1408360282270226,-0.01843609524473129,-0.441807986385636,1.120735148779379
1,-4.666666666666667,Inhale,0,-0.03650746390509193,0.11460126141295009,0.06440986649886953,0.005136299335904719,0.09501999819434075,0.024026969154948737,0.04338261167238328,-0.05070024186228625,-0.13593709736180296,0.010099387586802261,-0.06430547941545069,-0.0816940087178646,-0.06822835083694964,0.006912418881078097,0.10086643462901664,-0.018116855891070063,0.26736723865766127,0.8198932903777628
2,-4.333333333333333,Inhale,0,0.003205482264127964,0.10511142851218985,0.04175889585738767,0.011551149926246534,0.07964286312015577,0.020449731844682906,0.03539617644432337,-0.05560810544695625,-0.11686137521404479,-0.009434014083668566,-0.05289471328201299,-0.05226827191913118,-0.09114736333540044,0.005081503884818732,0.05920309833852814,-0.015935286903009736,0.5469657980316577,0.9273422897162114
3,-4.0,Inhale,0,0.02922266524922576,0.09133952056406865,0.019524348461451957,0.01460751667525939,0.06513694753788238,0.01671221279262931,0.010324448435252822,-0.045867588102042764,-0.0810300515973967,-0.024677442843137727,-0.03783089114296203,-0.014356447324616066,-0.1042409015482496,0.002305854650204322,0.013978171814939828,-0.010333910286822545,0.36720045649594885,1.346491304994118
4,-3.6666666666666665,Inhale,0,0.04256197261256648,0.07500271652632266,-0.002954275874333381,0.015391185625468456,0.050279945610195095,0.012526593118529133,-0.02399862311860167,-0.0252706361689167,-0.03411655570465074,-0.03790112216040073,-0.022101082559081213,0.025871880460020546,-0.11164088082971087,0.0010775943026075374,-0.034054304950920385,-0.0013419164449365863,-0.15615493572377165,1.8459575759295417
5,-3.3333333333333335,Inhale,0,0.04478096253668961,0.057485921820961586,-0.02565380685092743,0.015202516028126084,0.033913526900981095,0.0077987090666167035,-0.057082229701055254,-0.001416326997469667,0.012649396044364419,-0.05036360356040081,-0.010300781867457804,0.06129042764990567,-0.11661142225255249,0.003371321643718104,-0.08144678666677392,0.00956179057486069,-0.7680431305147261,2.1168581306729126
6,-3.0,Inhale,0,0.03817597792255764,0.039548405958446435,-0.0474564114652923,0.01511610355290804,0.015594814941903684,0.0027247682501001925,-0.07998809926377244,0.01858255757984737,0.047089274367429,-0.06077060922540602,-0.005105589984752151,0.08560273977803481,-0.11968637365156705,0.009718481521533068,-0.1227501041341819,0.020085049173185023,-1.1715258464877805,1.9030768374460363
7,-2.6666666666666665,Inhale,0,0.025865806553057497,0.021314331925653116,-0.06602879092337163,0.015610988074724707,-0.004033319635691662,-0.0022940581240926306,-0.08835118059509366,0.0309393748112263,0.061713530883881984,-0.06552669249922041,-0.0051287040422868,0.09489716345974276,-0.1176789908478947,0.018548940907202976,-0.15163045114744428,0.027924137966968868,-1.203719580255005,1.1542335268066493
8,-2.3333333333333335,Inhale,0,0.011502475014926091,0.002476333364657417,-0.07819420170688748,0.01637234956655481,-0.02338170403931727,-0.006813669265500932,-0.08225450562063176,0.03491375233507544,0.05675422336146552,-0.06031882128027662,-0.006027438812117513,0.08863002413437267,-0.1044503930247795,0.026004735776799917,-0.16217430581581996,0.03145667236356538,-0.9389020449876733,0.07489498563465519
9,-2.0,Inhale,0,-0.00135073887487304,-0.017439622011370202,-0.08067732369338097,0.016307320293773735,-0.04048288399234009,-0.010465123738291346,-0.0642687838848037,0.03185214239659938,0.03924416514933752,-0.041912969276670244,-0.0032896116321098415,0.06942596945353934,-0.07352417810348882,0.027139798801100016,-0.15013851383044158,0.030044823392903718,-0.5933625547494717,-0.9918516896338794
10,-1.6666666666666667,Inhale,0,-0.009998944583159836,-0.03885905483595292,-0.07102682615549823,0.013808981677922156,-0.05368052391543209,-0.0130333610486663,-0.03746197355402183,0.024757157193868142,0.019467574561738456,-0.00999863974986053,0.005600073831416383,0.04174562569140629,-0.02166459098564491,0.018752980014827433,-0.11402004768869106,0.023879710560437528,-0.3158599550674915,-1.7567625366595085
11,-1.3333333333333333,Inhale,0,-0.013348622586884169,-0.06201925629738609,-0.04846586965349392,0.007231707844603383,-0.062182575930386945,-0.014532652993191154,-0.004283874537619997,0.017083249499589243,0.00736942717299945,0.03071073698182687,0.020414995030476613,0.010355770151045803,0.04836952573881634,0.0020285336350088987,-0.05581226886287023,0.013629351033272325,-0.07332397636155277,-2.106991955238808
12,-1.0,Inhale,0,-0.012292559648057474,-0.08688484857728518,-0.014329564351248764,-0.004591496687202268,-0.0663083260883034,-0.015242935242525188,0.032892075405470525,0.011182367929442856,0.010756331000740025,0.06916601444795914,0.03872250503500827,-0.02066478699110502,0.12783582480002437,-0.017548944536800993,0.01887860776989384,0.00021870551779174237,0.27324535485329526,-2.0944214399671353
13,-0.6666666666666666,Inhale,0,-0.009504510546413094,-0.11310703523954689,0.028067866021445526,-0.021989608032341082,-0.06733871031918233,-0.01565005675846274,0.06982029987676398,0.008606510102229646,0.03450139961612694,0.0902913426361638,0.05719411668955425,-0.04842010255610265,0.2049588547581013,-0.03314078708166727,0.10164391725678326,-0.01518420393656725,0.8025793452345156,-1.8409075844030467
14,-0.3333333333333333,Inhale,0,-0.008639843732400659,-0.1400340901837145,0.07406186633051792,-0.04434543718066779,-0.06703329275193558,-0.01629683140436388,0.09958933311476158,0.011514803217926802,0.07898750927248419,0.08206796490985542,0.07297578439606063,-0.07146379809650896,0.26875416562994237,-0.03989950146090094,0.1828991841900725,-0.031176609839389323,1.4342883446926409,-1.461335739563633
15,0.0,Inhale,0,-0.013217222203298061,-0.16677893486824322,0.1185824431525614,-0.07023347283039022,-0.06703774476776084,-0.017616526957452413,0.11526536687585308,0.021985820588065426,0.13836504385714235,0.043206673392712294,0.08447281920626142,-0.08982810097812385,0.3114892307248951,-0.036522635896021574,0.2537213408708866,-0.04627536203645868,1.9710534725673854,-1.057212144891255
16,0.3333333333333333,Inhale,0,-0.02561111385116799,-0.1923335113272839,0.15717307788447443,-0.09774959967329308,-0.06846454393242096,-0.019805203734275075,0.11425884620621805,0.0394097506121003,0.2007981721327275,-0.01465919865182444,0.09104694658007878,-0.10464218232275631,0.32933451688286647,-0.024760770139849352,0.3071866211133039,-0.059146167024849754,2.2383571591104765,-0.7416097925342753
17,0.6666666666666666,Inhale,0,-0.046474339627800634,-0.21570172218487485,0.18684111408113424,-0.12490904673345198,-0.07179978712749482,-0.022744957821567047,0.10018799174121247,0.059683841817555684,0.25154308885139504,-0.07205741043309734,0.09172172739220581,-0.11746039666686776,0.32220681500353016,-0.007932400515944725,0.33893041608135954,-0.068802186389765,2.1945804920742282,-0.6142723730001909
18,1.0,Inhale,0,-0.0746736008128629,-0.23601520229672962,0.20652767557799648,-0.14994450449043012,-0.07700481681246876,-0.02602566923090215,0.08065175746920963,0.07743973841233935,0.2775994869404146,-0.11069782076223822,0.08407978679850805,-0.12979108666824984,0.2936476100908343,0.010314192891194151,0.347148346910105,-0.07475721784059916,1.9232085682789994,-0.6756244913745181
19,1.3333333333333333,Inhale,0,-0.10761983678088909,-0.2526143367996065,0.21711520898336603,-0.1714277807769161,-0.08352212967888124,-0.029139038570403963,0.06346601099674314,0.08851552007108622,0.27179045150870157,-0.12110267511530882,0.06472057713374435,-0.14307550345017547,0.2507174712288113,0.026468080403125396,0.3325100458226855,-0.07713849269654016,1.5608881283497207,-0.7843073707252473
20,1.6666666666666667,Inhale,0,-0.14181827141636996,-0.26510218694207416,0.22104965456000344,-0.18831047365351883,-0.09014431090528077,-0.031760774633878025,0.05434435469590389,0.09076776569248818,0.2347677115031303,-0.10491710230545355,0.031188334947574087,-0.1587294242032153,0.2032264914633588,0.03743167105834026,0.2983088519699058,-0.07669667724899305,1.2375907206997763,-0.7416601536964269
21,2.0,Inhale,0,-0.17358264496798317,-0.27337080195076774,0.22164936908182337,-0.2000213477715392,-0.0951094175812855,-0.033854223245147856,0.05641769630314754,0.08432640938024527,0.17452943730552697,-0.07148461949130054,-0.016247609896926033,-0.17775919358748454,0.1616258967364541,0.041393617985438974,0.25064675382145835,-0.07463778620450255,1.0137573519587992,-0.43247105966583826
22,2.3333333333333335,Inhale,0,-0.19979593390262312,-0.27758741667754233,0.22231444354859015,-0.20662015554303723,-0.0966664191437246,-0.035472094456786805,0.07071072891446788,0.071811395186315,0.10411459509190273,-0.03180345058896353,-0.07422299742510066,-0.20002711359061293,0.13423033059094797,0.0388608928696532,0.19820556197415098,-0.07238794425606697,0.8289628504775256,0.1062853650117582
23,2.6666666666666665,Inhale,0,-0.21843764552732117,-0.2781638436143295,0.22597963103547894,-0.20889399911967152,-0.0937793071570411,-0.036486136018971285,0.09714179854850018,0.057032905582297254,0.03895183567243249,0.005818450857936111,-0.13706162520027618,-0.22369409631754106,0.1256278715873548,0.032522594043038075,0.15126456617701112,-0.07144277467248557,0.5453187273662121,0.7264202909117535
24,3.0,Inhale,0,-0.2288296824632181,-0.2757629494103368,0.23484047185006857,-0.20830734869263548,-0.08647966846650391,-0.03654451858805736,0.13505383459103665,0.04262136125950807,-0.005613971715665992,0.036572545872901555,-0.1978338550693154,-0.24536532611787978,0.1370993467772572,0.025573347795930526,0.11982739976250564,-0.07318905247935814,0.06871444177355565,1.270961325644402
25,3.3333333333333335,Inhale,0,-0.23184519673976842,-0.2713447500446888,0.2501834954745005,-0.2067899178154281,-0.07578289023980063,-0.035285135425805324,0.18191516045107498,0.02964204688398315,-0.017619352991233947,0.058240398517456646,-0.24936571968246551,-0.2611911856906333,0.16788450476353706,0.0197096472733021,0.11135916650560136,-0.07859060234719693,-0.5902851640572874,1.6668671878658377
26,3.6666666666666665,Inhale,0,-0.23018242524992935,-0.26615267154118005,0.2722888722181922,-0.20639666447854987,-0.06337261478817131,-0.03261108686161348,0.23145202838420473,0.019358391225644544,0.007775298423363218,0.07034731640195532,-0.28549627858484794,-0.2685678090621313,0.2155641882296583,0.014405318905018009,0.12913948322755756,-0.0879125126138474,-1.3682409664920343,1.9488794430329668
27,4.0,Inhale,0,-0.22836297449251544,-0.26151061453352603,0.3004124492637586,-0.20891179494495513,-0.051158132857603296,-0.028837091987201607,0.2744881861189782,0.013596330304080128,0.06678971010039311,0.0726946517338053,-0.3026942751886096,-0.26741878169669936,0.2752542838248679,0.00793161911535247,0.17172808995064343,-0.10065270975156433,-2.2024638157199488,2.2009309371604755
