,0
0,0
1,1
2,2
3,5
4,6
5,7
6,8
7,9
8,14
9,15
10,16
11,17
12,18
13,19
14,20
15,21
16,33
17,34
18,41
19,42
20,43
21,45
22,46
23,47
24,48
25,49
26,50
27,53
28,54
29,55
30,56
31,58
32,59
33,60
34,61
35,64
36,66
37,68
38,69
39,71
40,77
41,82
42,83
43,85
44,92
45,93
46,94
47,96
48,105
49,106
50,107
51,110
52,111
53,113
54,114
55,115
56,116
57,117
58,120
59,121
60,123
61,124
