,0
0,0
1,2
2,3
3,4
4,5
5,6
6,7
7,9
8,10
9,11
10,12
11,13
12,14
13,15
14,16
15,23
16,24
17,25
18,26
19,29
20,30
21,31
22,32
23,33
24,34
25,35
26,38
27,39
28,40
29,41
30,42
31,43
32,44
33,53
34,60
35,62
36,63
37,66
38,73
39,75
40,78
41,80
42,83
43,84
44,87
45,92
46,95
47,97
48,100
49,102
50,103
51,107
52,115
53,116
54,118
55,121
56,122
