ITD50,ITD500,ILD10,ILD70n
0.791260904035488,2.04000093587984,1.14039430326042,1.52954069829608
0.686621417287975,1.28500692249218,0.915596770897513,0.801869385833898
1.16823877671142,1.93327220008666,2.32112019397202,0.563730583914296
0.33429157452493,0.886314932632792,0.734076161924612,1.02324544571313
0.0555840748327826,1.17858589405876,1.81565368198519,1.20870478621344
1.29535446052431,1.22950570691419,-0.114185294321428,-0.0327374649382778
1.69690198500502,2.65248737249062,2.06603994677869,-0.136210764226098
0.464134523885035,2.10759597870191,1.26080279822289,-0.0386216432382347
0.395715173037573,0.838700527275413,1.45552356171879,0.42327281957845
0.120367095443266,0,0.878894968107815,0.55542400481065
2.00880724891339,2.72765515846278,2.63388923977731,0.610739669088163
1.03401425957892,1.50922251048606,0.805606927581203,-0.373375053451063
0.469454706458273,1.45075053074823,2.12681634386231,0.548523481543607
0.774629022555475,2.05703031154908,1.49286535377847,0.509910590135916
0.378952215206435,0.336064704353631,1.40487090964532,0.111710286028629
0.847581310220078,1.0020670019913,0.0544798721493417,0.247527830786416
1.96977315366489,1.20183910065858,1.79882798176472,-1.43575424340177
1.5050655308641,2.76125460839178,1.34303712809658,2.29145199563802
