,0
0,7
1,16
2,22
3,23
4,45
5,47
6,48
7,60
8,61
9,64
10,67
11,68
12,69
13,71
14,73
15,75
16,76
17,77
18,78
19,79
20,80
21,81
22,82
23,83
24,84
25,85
26,86
27,87
28,90
29,91
30,93
31,96
32,100
33,102
34,106
35,110
36,111
37,112
38,114
39,115
40,117
41,118
42,122
43,123
44,124
