,0
0,2
1,3
2,4
3,5
4,6
5,7
6,8
7,9
8,10
9,11
10,12
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,22
19,23
20,24
21,25
22,26
23,27
24,28
25,29
26,30
27,31
28,32
29,33
30,34
31,35
32,36
33,37
34,38
35,39
36,40
37,41
38,42
39,43
40,44
41,50
42,57
43,59
44,60
45,63
46,65
47,68
48,69
49,74
50,78
51,82
52,83
53,84
54,85
55,86
56,89
57,90
58,91
59,92
60,93
61,95
62,96
63,105
64,108
65,109
66,110
67,111
68,112
69,113
70,117
71,118
72,121
73,122
74,123
