OriginalVariableNames,Var1,Var2,Var3,Var4
Var1,1.14238233769702,3.68542077071279,2.84398056666558,2.43879257140651
Var2,1.44843862617578,3.56779621216956,2.341101671377,2.80330171641239
Var3,3.09041333569352,4.06825296403816,-0.192819853294811,3.68967743761988
Var4,3.1798302750677,1.52503271200592,2.32533418405091,1.36625174050697
Var5,1.51937129294262,2.32217573076204,3.63446742533286,3.48456982842657
Var6,3.10529047194415,3.15939595680237,1.747929457092,1.93929591766109
Var7,3.19544650329178,2.90498886545411,1.14410543636275,3.42747718126585
Var8,2.08564533826173,3.15939595680237,2.04223404835143,4.10556341559586
Var9,2.56614822245819,2.12269137199742,2.19764685536704,2.22731042488308
Var10,3.34591359149311,2.57250082960604,0.294137065218557,2.72982423693517
Var11,2.97604701184639,3.96769966964744,0.939755687756551,3.76902602100593
Var12,2.48659189478781,3.19882886937572,1.82526838102123,2.44957339272614
Var13,4.36814134865096,5.2456686336754,0.78822507026444,5.03116776312341
Var14,1.62195278265775,3.14732495332853,3.35243256252183,2.03336181962802
Var15,3.99709301936586,2.28986789859753,-1.59541558418215,3.17023454822457
Var16,2.64339434466862,6.18046461233563,2.5311114013571,3.7833236009612
Var17,1.94337471023686,4.26785929062038,1.31262304894946,2.73078706417067
Var18,3.81333559624589,3.31169964879528,0,4.11030853895402
Var19,2.45582788977821,3.20751750676562,1.4100113514535,3.44961762662015
Var20,4.15364047809897,2.26979766830409,2.23208320501338,1.65838090647842
Var21,3.49733233070679,2.76191228816346,-1.63380625116374,2.19992728678554
Var22,1.49683684543909,2.456487726834,1.62641959065068,3.03418833850227
Var23,4.72535464414807,3.80666149679053,2.25004397330405,3.93751529765896
Var24,3.99475370600512,3.67113479200441,0.117648824804666,3.59926069462891
Var25,3.04252800997719,3.41130076998693,0.768430362513225,3.04195299852299
Var26,3.17455293395377,3.02795675828528,-0.428571064815108,3.84675391372812
Var27,2.72600955679547,3.67113479200441,5.32684552280204,3.52094145159531
Var28,3.09023230616781,3.80666149679053,3.68542077071279,3.83938121775461
Var29,2.45104923775553,4.14017601112048,1.12924767452557,3.43226950738344
Var30,3.93751529765896,3.05195755580025,3.6911518564971,5.11905924230257
