# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: srm-nirs-eeg-1
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Ear,Times
500,1,2023-07-20,1,5,m_noise__ild_0__itd_500__targ_r,stim/bobmike/srm-nirs-eeg-1/s_500/m_noise__ild_0__itd_500__targ_r/0_m_noise__ild_0__itd_500__targ_r.wav,b,
500,1,2023-07-20,1,9,m_speech__ild_0__itd_500__targ_l,stim/bobmike/srm-nirs-eeg-1/s_500/m_speech__ild_0__itd_500__targ_l/0_m_speech__ild_0__itd_500__targ_l.wav,b,
500,2,2023-07-20,2,14,m_noise__ild_0__itd_50__targ_l,stim/bobmike/srm-nirs-eeg-1/s_500/m_noise__ild_0__itd_50__targ_l/0_m_noise__ild_0__itd_50__targ_l.wav,b,
500,3,2023-07-20,3,13,m_noise__ild_10__itd_0__targ_r,stim/bobmike/srm-nirs-eeg-1/s_500/m_noise__ild_10__itd_0__targ_r/0_m_noise__ild_10__itd_0__targ_r.wav,b,
500,4,2023-07-20,4,5,m_noise__ild_0__itd_500__targ_r,stim/bobmike/srm-nirs-eeg-1/s_500/m_noise__ild_0__itd_500__targ_r/0_m_noise__ild_0__itd_500__targ_r.wav,b,
500,5,2023-07-20,5,10,m_speech__ild_0__itd_500__side_l,stim/bobmike/srm-nirs-eeg-1/s_500/m_speech__ild_0__itd_500__side_l/0_m_speech__ild_0__itd_500__side_l.wav,b,
500,6,2023-07-20,6,12,m_noise__ild_10__itd_0__targ_l,stim/bobmike/srm-nirs-eeg-1/s_500/m_noise__ild_10__itd_0__targ_l/0_m_noise__ild_10__itd_0__targ_l.wav,b,
500,7,2023-07-20,7,11,m_speech__ild_10__itd_0__targ_r,stim/bobmike/srm-nirs-eeg-1/s_500/m_speech__ild_10__itd_0__targ_r/0_m_speech__ild_10__itd_0__targ_r.wav,b,
NDARYZ656HJ9,1,2023-07-20,1,1,m_noise__ild_0__itd_50__targ_r,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_noise__ild_0__itd_50__targ_r/0_m_noise__ild_0__itd_50__targ_r.wav,b,5.82,7.699
NDARYZ656HJ9,2,2023-07-20,2,5,m_noise__ild_0__itd_500__targ_r,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_noise__ild_0__itd_500__targ_r/0_m_noise__ild_0__itd_500__targ_r.wav,b,5.303,9.061,13.546
NDARYZ656HJ9,3,2023-07-20,3,2,m_speech__ild_0__itd_500__targ_r,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_speech__ild_0__itd_500__targ_r/0_m_speech__ild_0__itd_500__targ_r.wav,b,2.085,2.536,2.975,4.037,10.08
NDARYZ656HJ9,4,2023-07-20,4,3,m_speech__ild_10__itd_0__targ_l,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_speech__ild_10__itd_0__targ_l/0_m_speech__ild_10__itd_0__targ_l.wav,b,9.901,11.4,14.208
NDARYZ656HJ9,5,2023-07-20,5,8,m_speech__ild_0__itd_500__targ_l,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_speech__ild_0__itd_500__targ_l/0_m_speech__ild_0__itd_500__targ_l.wav,b,3.78,4.422,5.755,7.387,12.1
NDARYZ656HJ9,6,2023-07-20,6,6,m_speech__ild_0__itd_50__targ_l,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_speech__ild_0__itd_50__targ_l/0_m_speech__ild_0__itd_50__targ_l.wav,b,3.616,4.095,5.047,5.692,8.431
NDARYZ656HJ9,7,2023-07-20,7,10,m_noise__ild_10__itd_0__targ_l,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_noise__ild_10__itd_0__targ_l/0_m_noise__ild_10__itd_0__targ_l.wav,b,8.101,8.625
NDARYZ656HJ9,8,2023-07-20,8,4,m_speech__ild_0__itd_50__targ_r,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_speech__ild_0__itd_50__targ_r/0_m_speech__ild_0__itd_50__targ_r.wav,b,6.521,8.923
NDARYZ656HJ9,9,2023-07-20,9,7,m_noise__ild_0__itd_500__targ_l,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_noise__ild_0__itd_500__targ_l/0_m_noise__ild_0__itd_500__targ_l.wav,b,4.38,6.725,11.133
NDARYZ656HJ9,10,2023-07-20,10,9,m_speech__ild_10__itd_0__targ_r,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_speech__ild_10__itd_0__targ_r/0_m_speech__ild_10__itd_0__targ_r.wav,b,4.838,8.401,11.769
NDARYZ656HJ9,11,2023-07-20,11,12,m_noise__ild_0__itd_50__targ_l,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_noise__ild_0__itd_50__targ_l/0_m_noise__ild_0__itd_50__targ_l.wav,b,3.909,4.159,10.443,11.624
NDARYZ656HJ9,12,2023-07-20,12,11,m_noise__ild_10__itd_0__targ_r,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_noise__ild_10__itd_0__targ_r/0_m_noise__ild_10__itd_0__targ_r.wav,b,8.648,10.454,11.822,13.763
NDARYZ656HJ9,13,2023-07-20,13,7,m_noise__ild_0__itd_500__targ_l,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_noise__ild_0__itd_500__targ_l/1_m_noise__ild_0__itd_500__targ_l.wav,b,3.129,3.66,7.388
NDARYZ656HJ9,14,2023-07-20,14,11,m_noise__ild_10__itd_0__targ_r,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_noise__ild_10__itd_0__targ_r/1_m_noise__ild_10__itd_0__targ_r.wav,b,4.096,7.057,9.313,13.982
NDARYZ656HJ9,15,2023-07-20,15,4,m_speech__ild_0__itd_50__targ_r,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_speech__ild_0__itd_50__targ_r/1_m_speech__ild_0__itd_50__targ_r.wav,b,5.743,8.746,11.058
NDARYZ656HJ9,16,2023-07-20,16,3,m_speech__ild_10__itd_0__targ_l,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_speech__ild_10__itd_0__targ_l/1_m_speech__ild_10__itd_0__targ_l.wav,b,6.309,9.487,11.151
NDARYZ656HJ9,17,2023-07-20,17,8,m_speech__ild_0__itd_500__targ_l,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_speech__ild_0__itd_500__targ_l/1_m_speech__ild_0__itd_500__targ_l.wav,b,5.488,8.382,13.206
NDARYZ656HJ9,18,2023-07-20,18,2,m_speech__ild_0__itd_500__targ_r,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_speech__ild_0__itd_500__targ_r/1_m_speech__ild_0__itd_500__targ_r.wav,b,4.242,5.349,6.552
NDARYZ656HJ9,19,2023-07-20,19,10,m_noise__ild_10__itd_0__targ_l,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_noise__ild_10__itd_0__targ_l/1_m_noise__ild_10__itd_0__targ_l.wav,b,2.939,8.477,10.202,12.182
NDARYZ656HJ9,20,2023-07-20,20,12,m_noise__ild_0__itd_50__targ_l,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_noise__ild_0__itd_50__targ_l/1_m_noise__ild_0__itd_50__targ_l.wav,b,3.745,6.675,13.271
NDARYZ656HJ9,21,2023-07-20,21,6,m_speech__ild_0__itd_50__targ_l,stim/bobmike/srm-nirs-eeg-1/s_NDARYZ656HJ9/m_speech__ild_0__itd_50__targ_l/1_m_speech__ild_0__itd_50__targ_l.wav,b,7.982,8.497,11.273
