1	-92	-72	Fp1
2	-74	-65	AF3
3	-92	-36	F7
4	-60	-51	F3
5	-32	-45	FC1
6	-72	-21	FC5
7	-92	0	T7 (T3)
8	-46	0	C3
9	-32	45	CP1
10	-72	21	CP5
11	-92	36	P7
12	-60	51	P3
13	46	-90	Pz
14	-74	65	PO3
15	-92	72	O1
16	92	-90	Oz
17	92	-72	O2
18	74	-65	PO4
19	60	-51	P4
20	92	-36	P8
21	72	-21	CP6
22	32	-45	CP2
23	46	0	C4
24	92	0	T8 (T4)
25	72	21	FC6
26	32	45	FC2
27	60	51	F4
28	92	36	F8
29	74	65	AF4
30	92	72	Fp2
31	46	90	Fz
32	0	0	Cz

